region,survey,site,site_id,easting,northing,year,land_use,land_use_sub,loc_id,core_id,z,d,rho_fe,rho_c,f_c,s_fei,S_fez,s_ci,S_cz,i,time
sc,Jena_1,Edinburgh,EB,330311.32343744,672191.298105541,2004,grass,improved pasture,EB_22,EB_2004_22,0.1,0.05,1082.7473232,30.0078873,0.0277145799920459,54.13736616,104.35190543,1.500394365,3.220394365,2,0
sc,Jena_1,Edinburgh,EB,330311.32343744,672191.298105541,2004,grass,improved pasture,EB_22,EB_2004_22,0.2,0.1,1153.549975,22.39785695,0.0194164600020905,115.3549975,219.70690293,2.239785695,5.46018006,3,0
sc,Jena_1,Edinburgh,EB,330311.32343744,672191.298105541,2004,grass,improved pasture,EB_22,EB_2004_22,0.3,0.1,1375.092128,22.455335,0.0163300585777188,137.5092128,357.21611573,2.2455335,7.70571356,4,0
sc,Jena_1,Edinburgh,EB,330311.32343744,672191.298105541,2004,grass,improved pasture,EB_22,EB_2004_22,0.4,0.1,1312.414371,11.91556152,0.00907911539472163,131.2414371,488.45755283,1.191556152,8.897269712,5,0
sc,Jena_1,Edinburgh,EB,330311.32343744,672191.298105541,2004,grass,improved pasture,EB_22,EB_2004_22,0.5,0.1,1553.839807,8.96807053,0.0057715541136217,155.3839807,643.84153353,0.896807053,9.794076765,6,0
sc,Jena_1,Edinburgh,EB,330311.32343744,672191.298105541,2004,grass,improved pasture,EB_22,EB_2004_22,0.6,0.1,1433.143911,6.11795467,0.00426890462502897,143.3143911,787.15592463,0.611795467,10.405872232,7,0
sc,Jena_1,Edinburgh,EB,330303.451338135,672197.894378764,2004,grass,improved pasture,EB_23,EB_2004_23,0.05,0.05,1033.1232266,39.8,0.0385239620746709,51.65616133,51.65616133,1.99,1.99,1,0
sc,Jena_1,Edinburgh,EB,330303.451338135,672197.894378764,2004,grass,improved pasture,EB_23,EB_2004_23,0.1,0.05,1255.6746836,34.79458268,0.027709870346549,62.78373418,114.43989551,1.739729134,3.729729134,2,0
sc,Jena_1,Edinburgh,EB,330303.451338135,672197.894378764,2004,grass,improved pasture,EB_23,EB_2004_23,0.2,0.1,1177.537759,26.20216984,0.0222516599911426,117.7537759,232.19367141,2.620216984,6.349946118,3,0
sc,Jena_1,Edinburgh,EB,330303.451338135,672197.894378764,2004,grass,improved pasture,EB_23,EB_2004_23,0.3,0.1,1172.407132,25.97148641,0.0221522760320431,117.2407132,349.43438461,2.597148641,8.947094759,4,0
sc,Jena_1,Edinburgh,EB,330303.451338135,672197.894378764,2004,grass,improved pasture,EB_23,EB_2004_23,0.4,0.1,1350.751088,18.1786783,0.0134582000055365,135.0751088,484.50949341,1.81786783,10.764962589,5,0
sc,Jena_1,Edinburgh,EB,330303.451338135,672197.894378764,2004,grass,improved pasture,EB_23,EB_2004_23,0.5,0.1,1240.93885,10.95644766,0.00882916000252551,124.093885,608.60337841,1.095644766,11.860607355,6,0
sc,Jena_1,Edinburgh,EB,330303.451338135,672197.894378764,2004,grass,improved pasture,EB_23,EB_2004_23,0.6,0.1,1433.345771,7.28379021,0.00508167000410399,143.3345771,751.93795551,0.728379021,12.588986376,7,0
sc,Jena_1,Edinburgh,EB,330316.4754817,672213.07148441,2004,grass,improved pasture,EB_24,EB_2004_24,0.05,0.05,855.384852,36.6,0.0427877579482785,42.7692426,42.7692426,1.83,1.83,1,0
sc,Jena_1,Edinburgh,EB,330316.4754817,672213.07148441,2004,grass,improved pasture,EB_24,EB_2004_24,0.1,0.05,1211.803618,34.05548672,0.0281031399924406,60.5901809,103.3594235,1.702774336,3.532774336,2,0
